Longitude,Latitude,Trend,P-Value
67.5000,-42.5000,-9.22272e-04,1.87349e-01
67.5000,-37.5000,-1.04312e-03,2.98257e-01
67.5000,-32.5000,-3.32412e-03,1.02478e-01
67.5000,-27.5000,-9.37335e-03,1.95523e-03
67.5000,-22.5000,-2.07644e-02,4.33344e-05
67.5000,-17.5000,-4.40523e-02,1.87546e-06
67.5000,-12.5000,-6.46396e-02,1.02135e-07
67.5000,-7.5000,-5.06759e-02,1.36046e-09
67.5000,-2.5000,-1.80875e-02,1.15515e-06
67.5000,2.5000,-9.04860e-03,5.20326e-03
67.5000,7.5000,-1.80746e-02,7.05869e-04
67.5000,12.5000,-1.31804e-02,2.49155e-03
67.5000,17.5000,8.43152e-04,8.75050e-01
67.5000,22.5000,3.40048e-03,1.10296e-01
67.5000,27.5000,5.57740e-04,2.98257e-01
67.5000,32.5000,6.29537e-05,2.54681e-01
67.5000,37.5000,0.00000e+00,9.99000e+33
67.5000,42.5000,0.00000e+00,9.99000e+33
67.5000,47.5000,0.00000e+00,9.99000e+33
67.5000,52.5000,0.00000e+00,9.99000e+33
67.5000,57.5000,0.00000e+00,9.99000e+33
67.5000,62.5000,0.00000e+00,9.99000e+33
67.5000,67.5000,0.00000e+00,9.99000e+33
67.5000,72.5000,0.00000e+00,9.99000e+33
67.5000,77.5000,0.00000e+00,9.99000e+33
67.5000,82.5000,0.00000e+00,9.99000e+33
67.5000,87.5000,0.00000e+00,9.99000e+33
72.5000,-87.5000,0.00000e+00,9.99000e+33
72.5000,-82.5000,0.00000e+00,9.99000e+33
72.5000,-77.5000,0.00000e+00,9.99000e+33
72.5000,-72.5000,-2.44897e-05,4.19085e-01
72.5000,-67.5000,-1.30298e-04,6.50619e-02
72.5000,-62.5000,-3.64262e-04,1.56938e-02
72.5000,-57.5000,-6.25104e-04,4.18938e-03
72.5000,-52.5000,-7.45940e-04,2.23112e-02
72.5000,-47.5000,-8.51873e-04,1.43416e-01
72.5000,-42.5000,-7.17869e-04,3.15536e-01
